119540,1,27,一つの
119541,2,27,支払を識別するための小切手番号もしくは請求番号
119542,3,27,管理者のためのクライアント証明
119543,4,27,医療文書が添付されます。
119544,5,27,医療文書が添付されます。
119545,6,27,ディストリビューターが必要です。
119546,7,27,GCAC訪問フォームは今回の訪問で追加されました
119547,8,27,ロット番号が必要です
119548,9,27,ロット番号が必要です！
119549,10,27,小文字で入力
119550,11,27,数量
119551,12,27,このＩＤの患者は既に存在します。
119552,13,27,この名前の患者は既に存在します。
119553,14,27,このSSの患者は既に存在します。
119554,15,27,正の数は、（負の数が降順に過去の予定が表示されます）患者概要]画面にウィジェット上でその多くの過去の予定が表示されます
119555,16,27,正の数は、患者の概要]画面にウィジェット上でその多くの過去の予定が表示されます。
119556,17,27,照会元は、各訪問のために指定されてもよい。
119557,18,27,関連するIPPFコードが必要です
119558,19,27,特殊文字
119559,20,27,ユニークな値は、ユーザーには見えないこのフィールドを識別するために
119560,21,27,訪問は、すでに今日この患者のために存在しています。新しいものを作成することを続行するためにそれを開くために、キャンセル、または[OK]をクリックします。
119561,22,27,a.c.
119562,23,27,午前
119563,24,27,A/F Level Right:
119564,25,27,AB
119565,26,27,略語
119566,27,27,膿瘍：
119567,28,27,腹部
119568,29,27,：重量を4（4）の手順に耐え
119569,30,27,ABN
119570,31,27,ABN1
119571,32,27,異常な
119572,33,27,異常な血液検査
119573,34,27,異常な髪の成長
119574,35,27,異常マンモグラム
119575,36,27,中絶
119576,37,27,妊娠中絶の問題
119577,38,27,妊娠中絶の方法
119578,39,27,妊娠中絶-関連カテゴリ
119579,40,27,中絶
119580,41,27,カレンダーについて
119581,42,27,診断で欠席
119582,43,27,割り当てを受け入れる
119583,44,27,のための支払いを受け入れる
119584,45,27,のための支払いを受け入れる
119585,46,27,割り当てを受け入れ
119586,47,27,アクセス制御
119587,48,27,アクセス制御リストの管理
119588,49,27,アクセス日
119589,50,27,アクセスは許可されていません
119590,51,27,アクセスは認証されていません
119591,52,27,患者ポータルへアクセス
119592,53,27,事故
119593,54,27,アカウント名
119594,55,27,アカウント管理
119595,56,27,痛み
119596,57,27,謝辞要求（ISA14）
119597,58,27,謝辞、ライセンスと認証
119598,59,27,アクセス制限（ACL）
119599,60,27,アクセス管理（ACL）
119600,61,27,アクセス管理（ACL）は認証されていません
119601,62,27,ACLが更新されました
119602,63,27,にきび
119603,64,27,行為
119604,65,27,法律日
119605,66,27,アクション
119606,67,27,アクション
119607,68,27,CCR / CCDレポートをアクティブに
119608,69,27,有効
119609,70,27,有効なアラート
119610,71,27,有効なアラートルール
119611,72,27,有効なアラート/予告
119612,73,27,有効な来院者
119613,74,27,有効なリスト
119614,75,27,有効な患者
119615,76,27,有効なプラン
119616,77,27,アクティビティ
119617,78,27,アクティビティタイプ
119618,79,27,急性中毒/退会
119619,80,27,慢性疾患の急性顕現
119620,81,27,慢性に急性
119621,82,27,追加
119622,83,27,追加
119623,84,27,追加
119624,85,27,会社を追加
119625,86,27,薬局を追加
119626,87,27,イベントを追加 
119627,88,27,新規ノートの追加
119628,89,27,新規追加
119629,90,27,ボタン追加
119630,91,27,特殊文字用のボタンを追加し、テキストはをクリックして上のテキストに含めるためのエディタの上部に表示する
119631,92,27,カテゴリ追加
119632,93,27,定数追加
119633,94,27,コンテキスト追加
119634,95,27,Copayを追加
